symbol	NMF rank	MMF localization	SAFE domain	SAFE localization	Entrez	BioGRID	HGNC	RefSeq	UniProt
COCH	6	ER lumen	4	ER lumen	1690	108051	HGNC:2180	NM_004086	O43405
COG1	14	Golgi apparatus	1	no prediction	9382	114783	HGNC:6545	NM_018714	Q8WTW3
COG2	14	Golgi apparatus	1	no prediction	22796	116477	HGNC:6546	NM_007357	Q14746
COG3	14	Golgi apparatus	9	Golgi apparatus	83548	123680	HGNC:18619	NM_031431	Q96JB2
COG4	14	Golgi apparatus	9	Golgi apparatus	25839	117365	HGNC:18620	NM_001195139	Q9H9E3
COG5	14	Golgi apparatus	1	no prediction	10466	115729	HGNC:14857	NM_001161520	Q9UP83
COG7	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	91949	124896	HGNC:18622	NM_153603	P83436
COIL	8	nucleolus	3	splicing speckles, nucleolus	8161	113815	HGNC:2184	NM_004645	P38432
COL14A1	6	ER lumen	4	ER lumen	7373	113219	HGNC:2191	NM_021110	Q05707
COL18A1	6	ER lumen	4	ER lumen	80781	123311	HGNC:2195	NM_030582	P39060
COL4A3BP	14	Golgi apparatus	9	Golgi apparatus	10087	115396	HGNC:2205	NM_005713	Q9Y5P4
COL6A1	6	ER lumen	4	ER lumen	1291	107688	HGNC:2211	NM_001848	P12109
COLEC12	20	early endosome, recycling endosome	18	endosome, lysosome	81035	123353	HGNC:16016	NM_130386	Q5KU26
COLGALT1	6	ER lumen	4	ER lumen	79709	122826	HGNC:26182	NM_024656	Q8NBJ5
COMMD8	19	miscellaneous	-	-	54951	120289	HGNC:26036	NM_017845	Q9NX08
COMTD1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	118881	125625	HGNC:26309	NM_144589	Q86VU5
COPA	14	Golgi apparatus	-	-	1314	107709	HGNC:2230	NM_004371	P53621
COPB1	14	Golgi apparatus	9	Golgi apparatus	1315	107710	HGNC:2231	NM_016451	P53618
COPB2	14	Golgi apparatus	9	Golgi apparatus	9276	114693	HGNC:2232	NM_004766	P35606
COPE	14	Golgi apparatus	9	Golgi apparatus	11316	116447	HGNC:2234	NM_007263	O14579
COPG1	14	Golgi apparatus	9	Golgi apparatus	22820	116496	HGNC:2236	NM_016128	Q9Y678
COPG2	14	Golgi apparatus	9	Golgi apparatus	26958	117926	HGNC:2237	NM_012133	Q9UBF2
COQ3	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51805	119731	HGNC:18175	NM_017421	Q9NZJ6
COQ5	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	84274	124001	HGNC:28722	NM_032314	Q5HYK3
COQ6	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51004	119212	HGNC:20233	NM_182476	Q9Y2Z9
COQ8A	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	56997	121312	HGNC:16812	NM_020247	Q8NI60
CORO1C	5	actin cytoskeleton, cytosol	7	actin cytoskeleton	23603	117136	HGNC:2254	NM_014325	Q9ULV4
CORO7	5	actin cytoskeleton, cytosol	17	Arp2/3 protein complex	79585	122728	HGNC:26161	NM_024535	P57737
CORO7-PAM16	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	100529144	1529373	HGNC:44424	NM_001201479	
COX11	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1353	107746	HGNC:2261	NM_004375	Q9Y6N1
COX15	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1355	107747	HGNC:2263	NM_078470	Q7KZN9
COX16	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51241	119401	HGNC:20213	NM_016468	Q9P0S2
COX19	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	90639	124748	HGNC:28074	NM_001031617	Q49B96
COX2	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix					
COX4I1	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1327	107720	HGNC:2265	NM_001861	P13073
COX5A	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	9377	114778	HGNC:2267	NM_004255	P20674
COX5B	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1329	107722	HGNC:2269	NM_001862	P10606
COX6B1	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1340	107733	HGNC:2280	NM_001863	P14854
COX6C	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1345	107738	HGNC:2285	NM_004374	P09669
COX7A2L	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	9167	114608	HGNC:2289	NM_004718	O14548
CPD	14	Golgi apparatus	18	endosome, lysosome	1362	107754	HGNC:2301	NM_001304	O75976
CPEB4	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	80315	123228	HGNC:21747	NM_030627	Q17RY0
CPNE3	11	plasma membrane	20	cell junction, plasma membrane	8895	114412	HGNC:2316	NM_003909	O75131
CPNE8	1	cell junction	20	cell junction, plasma membrane	144402	126848	HGNC:23498	NM_153634	Q86YQ8
CPOX	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1371	107763	HGNC:2321	NM_000097	P36551
CPSF3	5	actin cytoskeleton, cytosol	1	no prediction	51692	119680	HGNC:2326	NM_016207	Q9UKF6
CPSF6	10	nuclear body	22	chromatin, nucleoplasm	11052	116238	HGNC:13871	NM_007007	Q16630
CPSF7	10	nuclear body	8	paraspeckles	79869	122957	HGNC:30098	NM_024811	Q8N684
CPVL	6	ER lumen	4	ER lumen	54504	120000	HGNC:14399	NM_019029	Q9H3G5
CRACR2A	20	early endosome, recycling endosome	18	endosome, lysosome	84766	124247	HGNC:28657	NM_032680	Q9BSW2
CRAT	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1384	107774	HGNC:2342	NM_000755	P43155
CREBBP	2	chromatin	1	no prediction	1387	107777	HGNC:2348	NM_004380	Q92793
CRK	1	cell junction	-	-	1398	107788	HGNC:2362	NM_016823	P46108
CRMP1	19	miscellaneous	1	no prediction	1400	107790	HGNC:2365	NM_001313	Q14194
CRNKL1	10	nuclear body	23	spliceosomal complex II	51340	119487	HGNC:15762	NM_001278625	Q9BZJ0
CRTC1	5	actin cytoskeleton, cytosol	1	no prediction	23373	116952	HGNC:16062	NM_025021	Q6UUV9
CRYBG1	5	actin cytoskeleton, cytosol	1	no prediction	202	106705	HGNC:356	NM_001624	Q9Y4K1
CRYBG3	19	miscellaneous	-	-	131544	126284	HGNC:34427	NM_153605	Q68DQ2
CS	1	cell junction	-	-	1431	107818	HGNC:2422	NM_004077	O75390
CSDE1	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	7812	113583	HGNC:29905	NM_007158	O75534
CSE1L	3	ER membrane	1	no prediction	1434	107821	HGNC:2431	NM_001316	P55060
CSK	1	cell junction	1	no prediction	1445	107832	HGNC:2444	NM_004383	P41240
CSNK1A1	12	centrosome	-	-	1452	107836	HGNC:2451	NM_001892	P48729
CSNK1E	12	centrosome	10	centrosome	1454	107838	HGNC:2453	NM_001894	P49674
CSNK1G2	11	plasma membrane	20	cell junction, plasma membrane	1455	107839	HGNC:2455	NM_001319	P78368
CSNK1G3	11	plasma membrane	20	cell junction, plasma membrane	1456	107840	HGNC:2456	NM_004384	Q9Y6M4
CSNK2A2	2	chromatin	22	chromatin, nucleoplasm	1459	107842	HGNC:2459	NM_001896	P19784
CSNK2B	2	chromatin	22	chromatin, nucleoplasm	1460	107843	HGNC:2460	NM_001320	P67870
CSPG4	11	plasma membrane	20	cell junction, plasma membrane	1464	107846	HGNC:2466	NM_001897	Q6UVK1
CSPP1	12	centrosome	10	centrosome	79848	122939	HGNC:26193	NM_024790	Q1MSJ5
CSTF2	10	nuclear body	1	no prediction	1478	107860	HGNC:2484	NM_001325	P33240
CSTF2T	5	actin cytoskeleton, cytosol	1	no prediction	23283	116881	HGNC:17086	NM_015235	Q9H0L4
CTCF	2	chromatin	22	chromatin, nucleoplasm	10664	115906	HGNC:13723	NM_006565	P49711
CTDP1	19	miscellaneous	22	chromatin, nucleoplasm	9150	114597	HGNC:2498	NM_004715	Q9Y5B0
CTDSP1	11	plasma membrane	1	no prediction	58190	121804	HGNC:21614	NM_182642	Q9GZU7
CTDSPL2	2	chromatin	22	chromatin, nucleoplasm	51496	119571	HGNC:26936	NM_016396	Q05D32
CTIF	16	cytoplasmic ribonucleoprotein granule	1	no prediction	9811	115150	HGNC:23925	NM_014772	O43310
CTNNA1	1	cell junction	20	cell junction, plasma membrane	1495	107876	HGNC:2509	NM_001903	P35221
CTNNA2	1	cell junction	1	no prediction	1496	107877	HGNC:2510	NM_004389	P26232
CTNNAL1	1	cell junction	20	cell junction, plasma membrane	8727	114266	HGNC:2512	NM_003798	Q9UBT7
CTNNB1	1	cell junction	1	no prediction	1499	107880	HGNC:2514	NM_001098210	P35222
CTNNBL1	8	nucleolus	3	splicing speckles, nucleolus	56259	121123	HGNC:15879	NM_030877	Q8WYA6
CTNND1	1	cell junction	20	cell junction, plasma membrane	1500	107881	HGNC:2515	NM_001331	O60716
CTR9	9	nucleoplasm	22	chromatin, nucleoplasm	9646	115004	HGNC:16850	NM_014633	Q6PD62
CTSA	6	ER lumen	4	ER lumen	5476	111472	HGNC:9251	NM_000308	P10619
CTSD	6	ER lumen	4	ER lumen	1509	107889	HGNC:2529	NM_001909	P07339
CTTN	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	2017	108332	HGNC:3338	NM_138565	Q14247
CTTNBP2	17	microtubule cytoskeleton	15	microtubule cytoskeleton	83992	123842	HGNC:15679	NM_033427	Q8WZ74
CTTNBP2NL	5	actin cytoskeleton, cytosol	16	STRIPAK complex	55917	121000	HGNC:25330	NM_018704	Q9P2B4
CUEDC2	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	79004	122475	HGNC:28352	NM_024040	Q9H467
CUL2	3	ER membrane	1	no prediction	8453	114031	HGNC:2552	NM_003591	Q13617
CUL3	2	chromatin	22	chromatin, nucleoplasm	8452	114030	HGNC:2553	NM_001257197	Q13618
CUL4A	2	chromatin	-	-	8451	114029	HGNC:2554	NM_003589	Q13619
CUX1	14	Golgi apparatus	-	-	1523	107903	HGNC:2557	NM_001913	P39880
CWC15	10	nuclear body	3	splicing speckles, nucleolus	51503	119575	HGNC:26939	NM_016403	Q9P013
CWC22	10	nuclear body	3	splicing speckles, nucleolus	57703	121727	HGNC:29322	NM_020943	Q9HCG8
CWC25	10	nuclear body	3	splicing speckles, nucleolus	54883	120231	HGNC:25989	NM_017748	Q9NXE8
CWC27	10	nuclear body	22	chromatin, nucleoplasm	10283	115572	HGNC:10664	NM_005869	Q6UX04
CWF19L1	2	chromatin	1	no prediction	55280	120568	HGNC:25613	NM_018294	Q69YN2
CWF19L2	10	nuclear body	3	splicing speckles, nucleolus	143884	126821	HGNC:26508	NM_152434	Q2TBE0
CXADR	11	plasma membrane	20	cell junction, plasma membrane	1525	107905	HGNC:2559	NM_001207063	P78310
CXXC1	9	nucleoplasm	22	chromatin, nucleoplasm	30827	119045	HGNC:24343	NM_014593	Q9P0U4
CXorf56	2	chromatin	22	chromatin, nucleoplasm	63932	122000	HGNC:26239	NM_022101	Q9H5V9
CXorf57	8	nucleolus	22	chromatin, nucleoplasm					
CYB5A	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	1528	107908	HGNC:2570	NM_001914	P00167
CYB5B	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	80777	123309	HGNC:24374	NM_030579	O43169
CYB5R1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	51706	119690	HGNC:13397	NM_016243	Q9UHQ9
CYB5R3	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	1727	108071	HGNC:2873	NM_000398	P00387
CYC1	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1537	107917	HGNC:2579	NM_001916	P08574
CYCS	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	54205	119922	HGNC:19986	NM_018947	P99999
CYFIP1	11	plasma membrane	20	cell junction, plasma membrane	23191	116800	HGNC:13759	NM_014608	Q7L576
CYFIP2	11	plasma membrane	20	cell junction, plasma membrane	26999	117945	HGNC:13760	NM_001037332	Q96F07
CYLD	12	centrosome	14	centrosome enriched, P-body enriched	1540	107920	HGNC:2584	NM_001042355	Q9NQC7
CYP51A1	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	1595	107967	HGNC:2649	NM_000786	Q16850
DAAM1	5	actin cytoskeleton, cytosol	1	no prediction	23002	116648	HGNC:18142	NM_014992	Q9Y4D1
DAB2	5	actin cytoskeleton, cytosol	6	clathrin coat	1601	107971	HGNC:2662	NM_001343	P98082
DAB2IP	11	plasma membrane	20	cell junction, plasma membrane	153090	127478	HGNC:17294	NM_032552	Q5VWQ8
DACH1	9	nucleoplasm	22	chromatin, nucleoplasm	1602	107972	HGNC:2663	NM_004392	Q9UI36
DAG1	11	plasma membrane	20	cell junction, plasma membrane	1605	107975	HGNC:2666	NM_001165928	Q14118
DAP3	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	7818	113587	HGNC:2673	NM_004632	P51398
DAPK1	20	early endosome, recycling endosome	18	endosome, lysosome	1612	107982	HGNC:2674	NM_004938	P53355
DARS2	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	55157	120459	HGNC:25538	NM_018122	Q6PI48
DAXX	2	chromatin	22	chromatin, nucleoplasm	1616	107985	HGNC:2681	NM_001141969	Q9UER7
DAZAP1	10	nuclear body	8	paraspeckles	26528	117730	HGNC:2683	NM_170711	Q96EP5
DBN1	5	actin cytoskeleton, cytosol	20	cell junction, plasma membrane	1627	107995	HGNC:2695	NM_080881	Q16643
DBNL	5	actin cytoskeleton, cytosol	17	Arp2/3 protein complex	28988	118809	HGNC:2696	NM_014063	Q9UJU6
DBT	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1629	107997	HGNC:2698	NM_001918	P11182
DCAF13	16	cytoplasmic ribonucleoprotein granule	3	splicing speckles, nucleolus	25879	117393	HGNC:24535	NM_015420	Q9NV06
DCAF7	19	miscellaneous	-	-	10238	115532	HGNC:30915	NM_005828	P61962
DCBLD1	11	plasma membrane	20	cell junction, plasma membrane	285761	130203	HGNC:21479	NM_173674	Q8N8Z6
DCDC2	17	microtubule cytoskeleton	15	microtubule cytoskeleton	51473	119558	HGNC:18141	NM_016356	Q9UHG0
DCLK1	17	microtubule cytoskeleton	15	microtubule cytoskeleton	9201	114635	HGNC:2700	NM_004734	O15075
DCLK2	17	microtubule cytoskeleton	15	microtubule cytoskeleton	166614	127929	HGNC:19002	NM_001040260	Q8N568
DCP1A	5	actin cytoskeleton, cytosol	1	no prediction	55802	120914	HGNC:18714	NM_018403	Q9NPI6
DCP1B	12	centrosome	1	no prediction	196513	128216	HGNC:24451	NM_152640	Q8IZD4
DCTN1	17	microtubule cytoskeleton	11	chaperonin-containing T-complex, prefoldin complex	1639	108007	HGNC:2711	NM_004082	Q14203
DCTN2	19	miscellaneous	1	no prediction	10540	115794	HGNC:2712	NM_006400	Q13561
DCTN3	12	centrosome	1	no prediction	11258	116418	HGNC:2713	NM_001281425	O75935
DCTN4	17	microtubule cytoskeleton	15	microtubule cytoskeleton	51164	119345	HGNC:15518	NM_001135643	Q9UJW0
DCTN6	20	early endosome, recycling endosome	18	endosome, lysosome	10671	115913	HGNC:16964	NM_006571	O00399
DCUN1D3	11	plasma membrane	20	cell junction, plasma membrane	123879	125841	HGNC:28734	NM_173475	Q8IWE4
DCXR	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	51181	119357	HGNC:18985	NM_001195218	Q7Z4W1
DDHD2	15	nuclear outer membrane-ER membrane network	-	-	23259	116862	HGNC:29106	NM_015214	O94830
DDOST	6	ER lumen	4	ER lumen	1650	108017	HGNC:2728	NM_005216	P39656
DDRGK1	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	65992	122441	HGNC:16110	NM_023935	Q96HY6
DDX10	8	nucleolus	22	chromatin, nucleoplasm	1662	108027	HGNC:2735	NM_004398	Q13206
DDX17	10	nuclear body	8	paraspeckles	10521	115776	HGNC:2740	NM_030881	Q92841
DDX18	8	nucleolus	3	splicing speckles, nucleolus	8886	114404	HGNC:2741	NM_006773	Q9NVP1
DDX19B	9	nucleoplasm	-	-	11269	116426	HGNC:2742	NM_007242	Q9UMR2
DDX20	19	miscellaneous	-	-	11218	116387	HGNC:2743	NM_007204	Q9UHI6
DDX21	8	nucleolus	22	chromatin, nucleoplasm	9188	114625	HGNC:2744	NM_004728	Q9NR30
DDX23	19	miscellaneous	5	spliceosomal complex I	9416	114811	HGNC:17347	NM_004818	Q9BUQ8
DDX24	8	nucleolus	3	splicing speckles, nucleolus	57062	121353	HGNC:13266	NM_020414	Q9GZR7
DDX27	8	nucleolus	3	splicing speckles, nucleolus	55661	120793	HGNC:15837	NM_001348187	Q96GQ7
DDX28	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	55794	120907	HGNC:17330	NM_018380	Q9NUL7
DDX31	8	nucleolus	3	splicing speckles, nucleolus	64794	122302	HGNC:16715	NM_138620	Q9H8H2
DDX39A	10	nuclear body	1	no prediction	10212	115507	HGNC:17821	NM_138998	O00148
DDX39B	10	nuclear body	1	no prediction	7919	113649	HGNC:13917	NM_004640	Q13838
DDX3X	16	cytoplasmic ribonucleoprotein granule	1	no prediction	1654	108020	HGNC:2745	NM_024005	O00571
DDX41	10	nuclear body	3	splicing speckles, nucleolus	51428	119534	HGNC:18674	NM_016222	Q9UJV9
DDX42	10	nuclear body	3	splicing speckles, nucleolus	11325	116454	HGNC:18676	NM_007372	Q86XP3
DDX46	10	nuclear body	3	splicing speckles, nucleolus	9879	115210	HGNC:18681	NM_014829	Q7L014
DDX47	19	miscellaneous	-	-	51202	119375	HGNC:18682	NM_016355	Q9H0S4
DDX49	8	nucleolus	22	chromatin, nucleoplasm	54555	120040	HGNC:18684	NM_019070	Q9Y6V7
DDX5	10	nuclear body	8	paraspeckles	1655	108021	HGNC:2746	NM_004396	P17844
DDX50	8	nucleolus	22	chromatin, nucleoplasm	79009	122480	HGNC:17906	NM_024045	Q9BQ39
DDX51	9	nucleoplasm	-	-	317781	130475	HGNC:20082	NM_175066	Q8N8A6
DDX52	8	nucleolus	22	chromatin, nucleoplasm	11056	116241	HGNC:20038	NM_152300	Q9Y2R4
DDX54	8	nucleolus	3	splicing speckles, nucleolus	79039	122503	HGNC:20084	NM_024072	Q8TDD1
DDX55	8	nucleolus	22	chromatin, nucleoplasm	57696	121721	HGNC:20085	NM_020936	Q8NHQ9
DDX56	8	nucleolus	22	chromatin, nucleoplasm	54606	120075	HGNC:18193	NM_019082	Q9NY93
DDX59	10	nuclear body	23	spliceosomal complex II	83479	123664	HGNC:25360	NM_001031725.4	Q5T1V6
DECR2	12	centrosome	2	mitochondrial outer membrane, peroxisome	26063	117525	HGNC:2754	NM_020664	Q9NUI1
DEK	2	chromatin	22	chromatin, nucleoplasm	7913	113643	HGNC:2768	NM_001134709	P35659
DENND1A	5	actin cytoskeleton, cytosol	6	clathrin coat	57706	121730	HGNC:29324	NM_024820	Q8TEH3
DENND2C	11	plasma membrane	20	cell junction, plasma membrane	163259	127862	HGNC:24748	NM_198459	Q68D51
DENND4A	20	early endosome, recycling endosome	1	no prediction	10260	115552	HGNC:24321	NM_005848	Q7Z401
DENND4C	20	early endosome, recycling endosome	18	endosome, lysosome	55667	120799	HGNC:26079	NM_017925	Q5VZ89
DENND5A	20	early endosome, recycling endosome	1	no prediction	23258	116861	HGNC:19344	NM_015213	Q6IQ26
DENND5B	20	early endosome, recycling endosome	18	endosome, lysosome	160518	127761	HGNC:28338	NM_144973	Q6ZUT9
DENND6A	7	endosome, lysosome	18	endosome, lysosome	201627	128398	HGNC:26635	NM_152678	Q8IWF6
DEPDC1	11	plasma membrane	20	cell junction, plasma membrane	55635	120774	HGNC:22949	NM_017779	Q5TB30
DEPDC1B	11	plasma membrane	20	cell junction, plasma membrane	55789	120903	HGNC:24902	NM_018369	Q8WUY9
DERL1	13	mitochondrial outer membrane, peroxisome	-	-	79139	122559	HGNC:28454	NM_024295	Q9BUN8
DES	5	actin cytoskeleton, cytosol	1	no prediction	1674	108038	HGNC:2770	NM_001927	P17661
DGCR8	10	nuclear body	22	chromatin, nucleoplasm	54487	119986	HGNC:2847	NM_001190326	Q8WYQ5
DGKD	11	plasma membrane	20	cell junction, plasma membrane	8527	114097	HGNC:2851	NM_003648	Q16760
DGKE	3	ER membrane	19	nuclear outer membrane-ER membrane network	8526	114096	HGNC:2852	NM_003647	P52429
DGKH	11	plasma membrane	20	cell junction, plasma membrane	160851	127768	HGNC:2854	NM_178009	Q86XP1
DHCR24	15	nuclear outer membrane-ER membrane network	-	-	1718	108064	HGNC:2859	NM_014762	Q15392
DHCR7	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	1717	108063	HGNC:2860	NM_001360	Q9UBM7
DHPS	5	actin cytoskeleton, cytosol	-	-	1725	108070	HGNC:2869	NM_001930	P49366
DHRS1	13	mitochondrial outer membrane, peroxisome	2	mitochondrial outer membrane, peroxisome	115817	125457	HGNC:16445	NM_138452	Q96LJ7
DHRS13	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	147015	127030	HGNC:28326	NM_144683	Q6UX07
DHRS4	4	mitochondrial matrix	2	mitochondrial outer membrane, peroxisome	10901	116107	HGNC:16985	NM_001282987	Q9BTZ2
DHRS7	15	nuclear outer membrane-ER membrane network	19	nuclear outer membrane-ER membrane network	51635	119649	HGNC:21524	NM_016029	Q9Y394
DHTKD1	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	55526	120698	HGNC:23537	NM_018706	Q96HY7
DHX16	10	nuclear body	3	splicing speckles, nucleolus	8449	114027	HGNC:2739	NM_003587	O60231
DHX29	16	cytoplasmic ribonucleoprotein granule	1	no prediction	54505	120001	HGNC:15815	NM_019030	Q7Z478
DHX30	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	22907	116571	HGNC:16716	NM_138615	Q7L2E3
DHX33	8	nucleolus	3	splicing speckles, nucleolus	56919	121247	HGNC:16718	NM_020162	Q9H6R0
DHX37	8	nucleolus	22	chromatin, nucleoplasm	57647	121684	HGNC:17210	NM_032656	Q8IY37
DHX38	10	nuclear body	3	splicing speckles, nucleolus	9785	115129	HGNC:17211	NM_014003	Q92620
DHX40	9	nucleoplasm	1	no prediction	79665	122790	HGNC:18018	NM_024612	Q8IX18
DHX57	16	cytoplasmic ribonucleoprotein granule	13	cytoplasmic ribonucleoprotein granule	90957	124783	HGNC:20086	NM_145646	Q6P158
DHX8	10	nuclear body	23	spliceosomal complex II	1659	108024	HGNC:2749	NM_001302623	Q14562
DHX9	10	nuclear body	8	paraspeckles	1660	108025	HGNC:2750	NM_030588	Q08211
DIABLO	18	mitochondrial inner membrane, mitochondrial intermembrane space	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	56616	121157	HGNC:21528	NM_019887	Q9NR28
DIAPH1	11	plasma membrane	20	cell junction, plasma membrane	1729	108073	HGNC:2876	NM_005219	O60610
DIAPH2	20	early endosome, recycling endosome	18	endosome, lysosome	1730	108074	HGNC:2877	NM_006729	O60879
DIAPH3	11	plasma membrane	20	cell junction, plasma membrane	81624	123559	HGNC:15480	NM_001042517	Q9NSV4
DICER1	5	actin cytoskeleton, cytosol	-	-	23405	116978	HGNC:17098	NM_030621	Q9UPY3
DIDO1	10	nuclear body	3	splicing speckles, nucleolus	11083	116266	HGNC:2680	NM_080796	Q9BTC0
DIEXF	8	nucleolus	3	splicing speckles, nucleolus					
DIP2A	11	plasma membrane	-	-	23181	116793	HGNC:17217	NM_015151	Q14689
DIP2B	1	cell junction	-	-	57609	121656	HGNC:29284	NM_173602	Q9P265
DIXDC1	5	actin cytoskeleton, cytosol	7	actin cytoskeleton	85458	124542	HGNC:23695	NM_001037954	Q155Q3
DKC1	8	nucleolus	3	splicing speckles, nucleolus	1736	108080	HGNC:2890	NM_001363	O60832
DLAT	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1737	108081	HGNC:2896	NM_001931	P10515
DLD	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1738	108082	HGNC:2898	NM_000108	P09622
DLG1	1	cell junction	20	cell junction, plasma membrane	1739	108083	HGNC:2900	NM_004087	Q12959
DLG3	11	plasma membrane	20	cell junction, plasma membrane	1741	108085	HGNC:2902	NM_021120	Q92796
DLG5	1	cell junction	1	no prediction	9231	114662	HGNC:2904	NM_004747	Q8TDM6
DLGAP4	11	plasma membrane	20	cell junction, plasma membrane	22839	116513	HGNC:24476	NM_014902	Q9Y2H0
DLGAP5	17	microtubule cytoskeleton	15	microtubule cytoskeleton	9787	115131	HGNC:16864	NM_014750	Q15398
DLST	4	mitochondrial matrix	21	mitochondrial inner membrane, mitochondrial intermembrane space, mitochondrial matrix	1743	108087	HGNC:2911	NM_001244883	P36957
DLX6	9	nucleoplasm	1	no prediction	1750	108094	HGNC:2919	NM_005222	P56179
DMAP1	2	chromatin	22	chromatin, nucleoplasm	55929	121004	HGNC:18291	NM_019100	Q9NPF5
DMD	1	cell junction	-	-	1756	108096	HGNC:2928	NM_004006	P11532
DMTN	5	actin cytoskeleton, cytosol	7	actin cytoskeleton	2039	108353	HGNC:3382	NM_001978	Q08495
DMXL1	20	early endosome, recycling endosome	18	endosome, lysosome	1657	108023	HGNC:2937	NM_005509	Q9Y485
DMXL2	20	early endosome, recycling endosome	18	endosome, lysosome	23312	116903	HGNC:2938	NM_015263	Q8TDJ6
DNAAF2	5	actin cytoskeleton, cytosol	-	-	55172	120471	HGNC:20188	NM_001083908	Q9NVR5
DNAAF5	13	mitochondrial outer membrane, peroxisome	22	chromatin, nucleoplasm	54919	120260	HGNC:26013	NM_017802	Q86Y56
DNAH10	12	centrosome	1	no prediction	196385	128201	HGNC:2941	NM_207437	Q8IVF4
DNAH5	5	actin cytoskeleton, cytosol	-	-	1767	108106	HGNC:2950	NM_001369	Q8TE73
